iter	F1	Logloss
0	0.5226238289	0.6842130502
1	0.6570537007	0.6791109263
2	0.6551592106	0.6755824787
3	0.6333013277	0.6713501386
4	0.6510128209	0.6648420895
5	0.6539729581	0.6598880711
6	0.6485663866	0.6566353471
7	0.649450306	0.652149796
8	0.6538660252	0.6482623034
9	0.6465335561	0.6459730379
10	0.6502479172	0.6435531271
11	0.666804208	0.6418041328
12	0.6683889754	0.6401141382
13	0.6695134353	0.6372605366
14	0.6727267904	0.6352910041
15	0.6770762992	0.633157924
16	0.6779223641	0.6322010633
17	0.6707544145	0.6314516489
18	0.6677984943	0.6306280239
19	0.6667186444	0.6286886565
20	0.6653796822	0.6279219081
21	0.6659802223	0.6273277386
22	0.6648143552	0.6265305897
23	0.663284848	0.6258109739
24	0.6620365342	0.6251293279
25	0.657676987	0.6242920748
26	0.6595805689	0.6237599693
27	0.6587350285	0.622399157
28	0.6598348444	0.6220106434
29	0.6559575962	0.6216260379
30	0.6600040317	0.6211161394
31	0.663629468	0.6206322609
32	0.663284848	0.62023803
33	0.6656943806	0.6194656634
34	0.6664871508	0.6190655996
35	0.6659526307	0.6187349309
36	0.6657710427	0.618051128
37	0.666728585	0.6177668707
38	0.6646319002	0.616495638
39	0.6652545129	0.6159237815
40	0.6672865794	0.6155280756
41	0.6678179706	0.6152538502
42	0.6672005543	0.6148268364
43	0.6664010773	0.6145458479
44	0.6641910754	0.6142399112
45	0.6628299498	0.6139081003
46	0.6655030113	0.6135247997
47	0.6691166469	0.6131171425
48	0.6679755798	0.6128588176
49	0.6704275099	0.6127045823
50	0.6706048941	0.6121743101
51	0.6707730387	0.611939014
52	0.6703362598	0.611732233
53	0.6698991937	0.6114394097
54	0.6710409051	0.6110464581
55	0.67277955	0.6108580815
56	0.6735609286	0.6105741293
57	0.6736492786	0.6103515809
58	0.6729573826	0.6102350075
59	0.6725256689	0.6099720017
60	0.6726119673	0.609747088
61	0.672959749	0.609483973
62	0.6739971234	0.6092399346
63	0.6749521718	0.6091600284
64	0.6749526061	0.6090020757
65	0.6748656086	0.608800737
66	0.6731346182	0.6084536369
67	0.6746939181	0.6082430917
68	0.6761626983	0.6080037557
69	0.6771102092	0.6077969935
70	0.6757303262	0.6075328441
71	0.6759881108	0.6071233846
72	0.6758158102	0.6068908843
73	0.6771897813	0.6064540773
74	0.6763311846	0.6063272122
75	0.6765034167	0.6056050319
76	0.6771052811	0.6054769178
77	0.6769343811	0.605295722
78	0.6761604992	0.6051962994
79	0.6769343811	0.6051213443
80	0.6762459131	0.6049713647
81	0.6773602383	0.60469881
82	0.6778749073	0.6044980159
83	0.6792488276	0.6042618919
84	0.6795943689	0.6041364776
85	0.6789137447	0.6039879473
86	0.6795118969	0.6037762928
87	0.6801088171	0.603575912
88	0.6801953058	0.6033759164
89	0.6801088171	0.6032668045
90	0.6792488276	0.6028631834
91	0.679931558	0.6027647852
92	0.6807045092	0.6025936704
93	0.6804452149	0.6024717372
94	0.6820715276	0.602307213
95	0.6820651426	0.6021445573
96	0.6812125369	0.6019430292
97	0.6809480376	0.6017178384
98	0.6810343285	0.6015649534
99	0.6804403845	0.6014211747
100	0.6801861182	0.601279701
101	0.6797547284	0.6011526824
102	0.6824842543	0.6009384376
103	0.6821516348	0.600699159
104	0.6818984417	0.6006610048
105	0.6826571454	0.6005203307
106	0.6839402648	0.6003422461
107	0.6838536469	0.6002711645
108	0.684529732	0.599976795
109	0.6848673194	0.5999057973
110	0.6835229169	0.5997924824
111	0.6841302647	0.5996766976
112	0.6837991642	0.5995210209
113	0.6853386641	0.5993443208
114	0.6854257409	0.5992359133
115	0.6859385515	0.5989882668
116	0.686179378	0.5987559623
117	0.6862000588	0.5985672231
118	0.686800073	0.5984366177
119	0.687574733	0.598280057
120	0.6876739082	0.5981394314
121	0.6881869869	0.5979488282
122	0.6883496786	0.5977298344
123	0.6884371914	0.5975306429
124	0.6879244589	0.5972936112
125	0.6887746229	0.5972269593
126	0.6880119459	0.5971195222
127	0.6877732995	0.5969940578
128	0.6880240652	0.5969123258
129	0.687685708	0.5968382289
130	0.6878729074	0.596673178
131	0.6871069255	0.596542588
132	0.6867673234	0.5964877594
133	0.6877212438	0.5963719969
134	0.6868771366	0.5962756335
135	0.6874694624	0.5960922751
136	0.6865043908	0.595918121
137	0.6863186985	0.5957760462
138	0.6874462202	0.5955852275
139	0.6875456122	0.5955147898
140	0.6878849247	0.5954223749
141	0.6881484162	0.595174971
142	0.6888390818	0.5949353612
143	0.6886632119	0.5947387661
144	0.6875573307	0.5944747598
145	0.6876452215	0.5942917673
146	0.6884372511	0.5941166087
147	0.6882610869	0.5940252357
148	0.6884246683	0.593688614
149	0.6883491577	0.5935486913
