iter	Passed	Remaining
0	22	3358
1	54	3997
2	92	4531
3	111	4075
4	142	4135
5	166	4007
6	188	3841
7	203	3614
8	222	3478
9	241	3379
10	258	3265
11	275	3172
12	292	3077
13	308	2992
14	323	2915
15	341	2860
16	360	2823
17	376	2764
18	393	2712
19	411	2673
20	427	2628
21	444	2585
22	460	2542
23	481	2530
24	497	2488
25	513	2449
26	529	2412
27	546	2379
28	562	2345
29	577	2311
30	593	2280
31	609	2249
32	626	2220
33	644	2198
34	664	2183
35	681	2159
36	706	2158
37	730	2153
38	756	2153
39	782	2152
40	802	2133
41	825	2122
42	846	2106
43	869	2093
44	890	2078
45	914	2068
46	942	2065
47	967	2056
48	1000	2063
49	1024	2048
50	1049	2036
51	1072	2021
52	1096	2007
53	1119	1990
54	1143	1974
55	1166	1957
56	1189	1939
57	1216	1929
58	1239	1912
59	1260	1891
60	1285	1875
61	1308	1856
62	1329	1836
63	1355	1821
64	1376	1800
65	1398	1780
66	1421	1761
67	1443	1740
68	1464	1719
69	1487	1700
70	1508	1679
71	1529	1656
72	1552	1637
73	1572	1615
74	1594	1594
75	1619	1576
76	1642	1557
77	1664	1536
78	1689	1518
79	1712	1498
80	1735	1478
81	1760	1460
82	1784	1440
83	1807	1420
84	1828	1398
85	1848	1375
86	1871	1355
87	1892	1333
88	1914	1311
89	1936	1290
90	1964	1273
91	1990	1254
92	2017	1236
93	2044	1217
94	2066	1196
95	2090	1175
96	2114	1155
97	2139	1135
98	2161	1113
99	2188	1094
100	2212	1073
101	2235	1052
102	2258	1030
103	2280	1008
104	2303	987
105	2325	965
106	2352	945
107	2383	927
108	2407	905
109	2426	882
110	2450	861
111	2470	838
112	2487	814
113	2504	790
114	2524	768
115	2546	746
116	2561	722
117	2591	702
118	2616	681
119	2640	660
120	2663	638
121	2686	616
122	2715	595
123	2743	575
124	2771	554
125	2800	533
126	2831	512
127	2856	491
128	2886	469
129	2909	447
130	2934	425
131	2961	403
132	2983	381
133	3006	358
134	3029	336
135	3052	314
136	3097	293
137	3136	272
138	3159	250
139	3184	227
140	3209	204
141	3238	182
142	3262	159
143	3286	136
144	3308	114
145	3326	91
146	3346	68
147	3366	45
148	3388	22
149	3410	0
